id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
31735037974569,"Pygmalion,",,,1956-04,1956-04-01T00:00:00,April 1956,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974577,"The Madwoman of Chaillot,",,,1956-01,1956-01-01T00:00:00,January 1956,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 6,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974585,"Brigadoon,",,,1957-04,1957-04-01T00:00:00,April 1957,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974593,"The Chalk Garden,",,,1957-08-24,1957-08-24T00:00:00,"August 24, 1957",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974601,"The Chalk Garden,",,,1957-08,1957-08-01T00:00:00,August 1957,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974619,"The Man Who Came to Dinner,",,,1956-11,1956-11-01T00:00:00,November 1956,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974627,"The Taming of the Shrew,",,,1957-02,1957-02-01T00:00:00,February 1957,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974635,"Stalag 17,",,,1957-03,1957-03-01T00:00:00,March 1957,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 7,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974650,"Bus Stop,",,,1957-10,1957-10-01T00:00:00,October 1957,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974668,"The Skin of Our Teeth,",,,1957-12,1957-12-01T00:00:00,December 1957,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974676,"Pitt Portraits,",,,1957-11-20,1957-11-20T00:00:00,"November 20, 1957",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974684,"The Would-Be Invalid,",,,1958-10,1958-10-01T00:00:00,October 1958,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974692,"The Rainmaker,",,,1958-12,1958-12-01T00:00:00,December 1958,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974700,"The Happy Time,",,,1958-08,1958-08-01T00:00:00,August 1958,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974718,"The Happy Time,",,,1958-08-09,1958-08-09T00:00:00,"August 9, 1958",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974726,"The Teahouse of the August Moon,",,,1958-03,1958-03-01T00:00:00,March 1958,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974734,"A Phoenix Too Frequent,",,,1958-05,1958-05-01T00:00:00,May 1958,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 8,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974759,"Guys and Dolls,",,,1959-03,1959-03-01T00:00:00,March 1959,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974767,"Arms and the Man,",,,1959-08-08,1959-08-08T00:00:00,"August 8, 1959",,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974783,"Our Town,",,,1959-05,1959-05-01T00:00:00,May 1959,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974791,"Arms and the Man,",,,1959-08,1959-08-01T00:00:00,August 1959,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 9,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974825,"The Pajama Game,",,,1960-03,1960-03-01T00:00:00,March 1960,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 10,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974841,"My Three Angels,",,,1959-12,1959-12-01T00:00:00,December 1959,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 10,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974882,"The Boy Friend,",,,1961-03,1961-03-01T00:00:00,March 1961,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 11,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974908,"The Time of Your Life,",,,1960-10,1960-10-01T00:00:00,October 1960,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 11,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037974916,"Holiday,",,,1938/1939,1938-01-01T00:00:00,1938-1939,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 4,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
31735037984683,"Theatre program - A Raisin in the Sun co-produced by City Theatre and Kunut Repertory Theatre,",,,,,"September 10, 1999",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984691,"Theatre program - Little Willie Armstrong Jones Kuntu's inaugural production,",,,,,"April 15, 1975",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984733,"Program - Inaugural orchestral performance of Capriccio Italien and screening of Gentlemen Prefer Blondes,",,,,,"February 27, 1928",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984766,"Theatre program - Someone Who'll Watch Over Me,",,,1994-04,1994-04-01T00:00:00,April 1994,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984774,"Theatre program - Boppin' with the Ancestors,",,,2003-06,2003-06-01T00:00:00,June 2003,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984790,"Theatre program - Lillian Russell Opera Company in Lady Teazle,",,,,,"May 22, 1905",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984808,"Theatre program - Little Johnny Jones with George M. Cohan,",,,,,"September 11, 1905",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984816,"Theatre program - The Aunt Ester Cycle with The St. Louis Black Rep in Gem of the Ocean; Pittsburgh Playwrights Theatre Company in Two Trains Running; Penumbra Theatre Company in Raido Golf,",,,2009-11,2009-11-01T00:00:00,November 2009,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984832,"Theatre program - The Taming of the Shrew and The School for Scandal with Ada Rehan and Charles Richman,",,,,,"December 19, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984840,"Theatre program - The Usurper with N.C. Goodwin,",,,,,"November 21, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984857,"Theatre program - The Catch of the Season with Edna May,",,,,,"Febraury 12, 1906",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984873,"Theatre program - The Darling of the Gods with Blanche Bates,",,,,,"April 18, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984881,"Theatre program - The Wizard of Oz,",,,,,"Februaury 22, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984899,"Theatre program - The College Widow,",,,,,"January 8, 1906",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984915,"Theatre program - Three Little Maids,",,,,,"Februaury 1, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984923,"Broadside - Hess' Grand English Opera Company in The Chimes of Normandy; Bohemian Girl; Martha; Villars' Dragoons,",,,,,"March 4, 1978",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984931,"Opera program - Hess' Grand English Opera Company in The Chimes of Normandy,",,,,,"March 4, 1978",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984949,"Theatre program - Kinky Boots with Billy Porter,",,,,,"August 4, 2015",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984956,"Theatre program - The Yankee Consul with Raymond Hitchcock,",,,,,"September 12, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984964,"Theatre program - Endgame,",,,,,"February 14, 1980",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984972,"Theatre program - One Flew Over the Cuckoo's Nest with Tom Atkins,",,,,,"October 22, 1975",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984980,"Film program - Robin Hood with Douglas Fairbanks,",,,,,"January 15, 1923",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735037984998,"Theatre program - The Prince of Pilsen,",,,,,"January 4, 1904",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
